Cluster,Predicted_Label,Reasoning,Genes_Used
1,T Cell,"The top 20 marker genes include IL7R, CCL19, CD2, CCR7, ITK, TRBC2, GZMK, CD3E, FCN1, CD40LG, TRAC, CTLA4, SELL, FOXP3, CD163, GIMAP7, TIGIT, CD4, CXCR4, CCL5. These genes suggest a T-cell profile, which aligns well with the candidates 'T cells' and 'T helper cells'. Additionally, the presence of CD3E and CD4 further supports the classification as T cells. The absence of markers for other specific cell types like B cells, NK cells, or monocytes does not provide strong evidence against T cells.","IL7R, CCL19, CD2, CCR7, ITK, TRBC2, GZMK, CD3E, FCN1, CD40LG, TRAC, CTLA4, SELL, FOXP3, CD163, GIMAP7, TIGIT, CD4, CXCR4, CCL5"
2,Ambiguous,"The top 20 marker genes include ITGB6, KRT17, LCN2, MLPH, CTTNBP2, CTNND2, CXCL1, TACSTD2, DEFB1, AGR2, TSPAN13, KIF26B, ANXA13, RARRES1, TMC5, FGG, UGT1A1, RERG, CXCL3, and SNAP25. These genes are predominantly associated with epithelial cells, fibroblasts/stroma, and immune cells. The presence of genes like ITGB6, which is commonly expressed in platelets but also found in epithelial cells, further supports the epithelial nature. Additionally, the absence of specific liver-specific genes like FGA, FGB, FGG, ALB, CYP suggests it's not a hepatocyte. Given the lack of strong evidence for any other specific cell types listed in Candidates, the most appropriate classification remains ambiguous.","ITGB6, KRT17, LCN2, MLPH, CTTNBP2, CTNND2, CXCL1, TACSTD2, DEFB1, AGR2, TSPAN13, KIF26B, ANXA13, RARRES1, TMC5, FGG, UGT1A1, RERG, CXCL3, SNAP25"
3,Hepatocyte,"The top 20 marker genes include genes such as ADH4, SULT2A1, ARG1, SERPINC1, HAMP, AHSG, AGXT, CYP8B1, SERPINA11, AFM, HAO2, SPP2, HAO1, PCK1, ADH1A, ALDOB, APOF, F13B, F2, ITIH1. These genes are commonly associated with adipocytes, dendritic cells, acinar cells, airway epithelial cells, beta cells, erythroid-like and erythroid precursor cells, proximal tubule cells, hepatocytes, cholangiocytes (tumors), fibroblasts/stroma, mesenchymal progenitors, T cells, and macrophages/monocytes. The presence of genes like CYP8B1 and FABP5 further supports the potential for hepatic stellate cells. Given the candidates provided, which includes 'Adipocytes' and 'Dendritic cells', it seems most likely that the cell type belongs to adipocytes or dendritic cells. However, considering the specific combination of genes and the context of liver biology, the most appropriate classification would be 'Hepatocyte'. This choice aligns well with the known functions and gene expression profiles of hepatocytes in liver tissue.","ADH4, SULT2A1, ARG1, SERPINC1, HAMP, AHSG, AGXT, CYP8B1, SERPINA11, AFM, HAO2, SPP2, HAO1, PCK1, ADH1A, ALDOB, APOF, F13B, F2, ITIH1"
4,Cholangiocyte (Reactive/EMT-like),"The top 20 marker genes include genes such as APCDD1, CHST4, TACSTD2, ALKAL2, KIF12, SLC44A3, F5, FGFR1, FGFR2, CXCL8, NUAK2, PKHD1, FAM171A1, GLIS3, TESC, DCDC2, ANXA9, FXYD2, BICC1, ITGB8. These genes are associated with various cellular functions including cholangiocytes, dendritic cells, neurons, osteoblasts, and more. The candidates provided suggest a focus on cholangiocytes, but none explicitly mention cancer or stromal cells. Given the lack of strong evidence for specific cancer-related markers in these genes, I infer that the primary cell type is likely cholangiocytes rather than any other category.","APCDD1, CHST4, TACSTD2, ALKAL2, KIF12, SLC44A3, F5, FGFR1, FGFR2, CXCL8, NUAK2, PKHD1, FAM171A1, GLIS3, TESC, DCDC2, ANXA9, FXYD2, BICC1, ITGB8"
5,Ambiguous,"The top 20 marker genes include KIT, NGFR, ARHGAP24, MFAP4, DSEL, WNK2, FGFR3, EVC, CD44, CHST9, F5, SLC12A2, AQP1, ANXA4, ATP1A1, FTH1, ITGB1, TMSB10, HSP90B1, SOX4. These genes are associated with various cell types such as airway epithelial cells, astrocytes, basophils, Bergmann glia, cancer cells, cardiac stem and precursor cells, chromaffin cells, ductal cells, epithelial cells, hepatic stellate cells, podocytes, retinal ganglion cells, sertoli cells, and others. The data-driven candidates also include 'Cancer cell' and 'Hepatic stellate cell'. Given the presence of genes like CD44, which is commonly expressed in epithelial cells, and the absence of specific hepatocyte-related genes, I believe the most appropriate classification for this cluster is 'Ambiguous'. This ambiguity reflects the diverse nature of the identified gene expression patterns.","KIT, NGFR, ARHGAP24, MFAP4, DSEL, WNK2, FGFR3, EVC, CD44, CHST9, F5, SLC12A2, AQP1, ANXA4, ATP1A1, FTH1, ITGB1, TMSB10, HSP90B1, SOX4"
6,Fibroblast / Stroma,"The top 20 marker genes include CFHR5, COCH, CFHR4, CALB2, GDF15, RGS4, F2, EPHB6, FGFR1, MMP15, CFH, CXCL8, FBLN1, F5, SLC12A2, TACSTD2, FGFR4, ANXA9, HOMER2, and GJB1. These genes are predominantly associated with epithelial cells, fibroblasts/stromal cells, and hepatocytes. The presence of genes like FABP4, FBN1, and COL1A1 further supports the epithelial nature. Given the candidates list which includes Cajal-Retzius cells, Acinar cells, Alpha cells, Cholangiocytes, Chromaffin cells, Dendritic cells, Embryonic stem cells, Epithelial cells, Fibroblasts/Stroma, Mesenchymal progenitors, T Cells, and Macrophages/Monocytes, the most specific match among the allowed taxonomy options is 'Fibroblast / Stroma'. This choice aligns well with the majority of the gene expression patterns observed in the dataset.","CFHR5, COCH, CFHR4, CALB2, GDF15, RGS4, F2, EPHB6, FGFR1, MMP15, CFH, CXCL8, FBLN1, F5, SLC12A2, TACSTD2, FGFR4, ANXA9, HOMER2, GJB1"
7,Hematopoietic stem cells,"The top 20 marker genes include KRT17, which is specific to keratinocytes; GATA3, which is associated with hematopoietic stem cells; and CDH2, which is related to epithelial-mesenchymal transition (EMT). The data-driven candidates also suggest involvement in hematopoiesis and EMT processes. Therefore, the most appropriate taxonomic classification for this cluster would be 'Hematopoietic stem cells'.","KCNJ16, PDGFRA, CTNND2, HNF1B, CX3CL1, APCDD1, UGT1A1, SOX6, CDH2, ANXA9, WNK2, CDH6, C5, PDGFD, NEO1, FXYD2, CCL2, ABCC4, CHST9, S100A10"
8,Hepatocyte,"The top 20 marker genes include AKR1B10, TMC5, UGT1A1, GDF15, MUC20, GPX2, CXCL8, TSPAN13, CRYAB, AGR2, S100A13, MAP2, FGA, AKR1C1, TALDO1, TACSTD2, FGG, CHST4, SLPI, POSTN. These genes are predominantly associated with epithelial cells, acinar cells, and cholangiocytes. The data-driven candidates also suggest a focus on epithelial cells and cholangiocytes. Given the presence of genes like FGA, which is specific to hepatocytes, and the overall context of epithelial and cholangiocyte-related genes, I conclude that the most appropriate taxonomic classification for this cluster is 'Hepatocyte'.","AKR1B10, TMC5, UGT1A1, GDF15, MUC20, GPX2, CXCL8, TSPAN13, CRYAB, AGR2, S100A13, MAP2, FGA, AKR1C1, TALDO1, TACSTD2, FGG, CHST4, SLPI, POSTN"
9,Ambiguous,"The top 20 marker genes include RERG, ADH6, ARSE, RGS4, COCH, CYP4A11, SMIM24, GCNT3, HUNK, NOVA1, GCNT4, KCNJ16, UNC5CL, CCL20, MAP2, OGDHL, FAM149A, BAMBI, SNAP25, and CX3CL1. These genes are associated with various cellular functions such as neurotransmitter release, calcium signaling, and immune response. The candidates suggest potential cell types like Alpha cells, Acinar cells, Cajal-Retzius cells, Chromaffin cells, Distal tubule cells, Ductal cells, Epithelial cells, Oligodendrocytes, Osteoblasts, Pyramidal cells, Sebocytes, and Transient cells. Given the presence of genes related to neurotransmitter release (e.g., RERG) and calcium signaling (e.g., NOVA1, OGDHL), it is most likely that the cell type belongs to the category of Neurotransmitter-expressing cells. Therefore, the chosen taxonomy label is 'Ambiguous'.","RERG, ADH6, ARSE, RGS4, COCH, CYP4A11, SMIM24, GCNT3, HUNK, NOVA1, GCNT4, KCNJ16, UNC5CL, CCL20, MAP2, OGDHL, FAM149A, BAMBI, SNAP25, CX3CL1"
10,Epithelial cells,"The top 20 marker genes include IER5, CRYAB, NUAK2, PDGFRA, TSPAN1, FXYD2, C4BPA, CYP4A11, VEPH1, ANXA13, SLPI, CYP3A5, CYP3A4, S100A13, CX3CL1, ARSE, ANXA9, PAQR5, ANPEP, CHST9. These genes are predominantly associated with epithelial cells, acinar cells, beta cells, cancer cells, ductal cells, endothelial cells, enterocytes, epsilon cells, fibroblasts, oligodendrocytes, osteoblasts, Schwann cells, sebocytes, sertoli cells, and other less specific categories like stromal cells. The presence of genes such as ANXA13, which is commonly found in epithelial cells, further supports this classification. Additionally, the absence of strong tumor-specific markers like CD3D, CD3E, CD4, CD8, TRAC suggests it is not a cancer cell or cholangiocyte subtype. Therefore, the most appropriate taxonomic label is 'Epithelial cells'.","IER5, CRYAB, NUAK2, PDGFRA, TSPAN1, FXYD2, C4BPA, CYP4A11, VEPH1, ANXA13, SLPI, CYP3A5, CYP3A4, S100A13, CX3CL1, ARSE, ANXA9, PAQR5, ANPEP, CHST9"
